site,panel_id,output_column,current_value,proposed_value,semantic_transition_class,preview_status
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,사건유형_해석_ko,전조형 고장,급작 고장,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,최종고장양상_ko,진행성 악화,급작 발생,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,사건이력_ko,전조형 고장,급작 고장,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,전조흔적_flag,1,0,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,순수급작_flag,0,1,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,전조평가셋편입_flag,1,0,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,급작평가셋편입_flag,0,1,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,운영최초전조발견일,2024-12-11,,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,운영최초전조마커,anom_subtype:degradation,,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,사건해석상전조시작일,2025-01-29,,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,전조형이력_flag,1,0,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.16,급작고장이력_flag,0,1,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,사건유형_ko,전조형 고장,급작 고장,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,사건유형_해석_ko,전조형 고장,급작 고장,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,최종고장양상_ko,진행성 악화,급작 발생,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,사건이력_ko,전조형 고장,급작 고장,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,전조흔적_flag,1,0,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,순수급작_flag,0,1,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,전조평가셋편입_flag,1,0,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,급작평가셋편입_flag,0,1,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,운영최초전조발견일,2024-12-11,,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,운영최초전조마커,anom_subtype:degradation,,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,사건해석상전조시작일,2025-01-29,,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,전조형이력_flag,1,0,전조형 고장 -> 급작 고장,preview_only_not_applied
ktc_ess,ed5e3367-fbd4-4c8c-be33-c5d1c5e191b7.0.18,급작고장이력_flag,0,1,전조형 고장 -> 급작 고장,preview_only_not_applied
