site,panel_id,strict_trigger_date,first_warning_date,retrospective_onset_date,days_earlier_than_trigger,onset_confidence,onset_method,reason_summary,vendor_reply_class,vendor_fault_family,field_confirmed_flag,dispute_type,vendor_note,review_priority,reaudited_earliest_visible_date,reaudited_first_warning_date,field_estimated_start_date,date_judgement,failure_mode_judgement,candidate_validity,review_confidence,note
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.2.0,2024-11-26,2024-11-06,2024-11-06,20,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2024-09-27|first_warning=2024-11-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_pattern_positive,diode_like,0.0,agree_group_issue,"입력전압 27 수준, 다른 패널 43 대비 30~40% 낮음",P1,,,,,,true_positive,,초기 seed: vendor_pattern_positive / diode_like
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.15,2025-11-11,2025-09-13,2025-11-11,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2025-09-12|first_warning=2025-09-13|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_likely_positive,group_or_inverter_side_like,0.0,agree_positive,"여러 장비가 0, 인버터 관련 작업 추정, O&M 정보 없음",P1,,,,,,group_side,,assistant_seed: 다수 장비 0 / group_or_inverter_side_like → 그룹·인버터 측 문제
ktc_ess,70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4,2025-02-02,2024-12-25,2025-01-25,8,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2024-12-04|first_warning=2024-12-25|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_likely_positive,module_damage_like,0.0,agree_positive,모듈 손상된 것 같으나 현장확인 안함,P1,,,,,,true_positive,,assistant_seed: vendor_likely_positive / module_damage_like / maintenance_candidate
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,2025-08-16,2025-08-12,2025-08-16,0,medium,strict_trigger_fallback,strict_method=critical_fault_flag|window_start=2025-06-17|first_warning=2025-08-12|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,vendor_pattern_positive,diode_like,0.0,agree_group_issue,다이오드 손상으로 파악하는 경우,P1,,,,,,true_positive,,초기 seed: vendor diode_like → 패널 문제 가능
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.0,2024-12-06,2024-11-11,2024-11-11,25,high,persistent_5of7,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-11|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P2,,,,,,,,
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.0.0,2025-04-26,2025-02-25,2025-02-25,60,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2025-02-25|first_warning=2025-02-25|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P2,,,,,,,,
conalog,c42997a6-5881-47e7-9035-7de8a2673b54.2.0,2025-05-28,2025-03-29,2025-03-29,60,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2025-03-29|first_warning=2025-03-29|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P2,,,,,,,,
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.11,2025-11-11,2025-09-12,2025-09-20,52,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2025-09-12|first_warning=2025-09-12|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P2,,,,,,,,
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.1.2,2025-11-11,2025-09-12,2025-09-12,60,high,persistent_5of7,strict_method=confirmed_fault_flag|window_start=2025-09-12|first_warning=2025-09-12|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P2,,,,,,,,
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.11,2025-11-11,2025-09-12,2025-09-20,52,high,persistent_5of7,strict_method=confirmed_fault_flag|window_start=2025-09-12|first_warning=2025-09-12|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P2,,,,,,,,
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.0.15,2025-11-17,2025-09-18,2025-09-18,60,high,persistent_5of7,strict_method=critical_fault_flag|window_start=2025-09-18|first_warning=2025-09-18|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P2,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.1,2024-12-06,2024-11-14,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-14|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.2,2024-12-06,2024-11-11,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-11|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.3,2024-12-06,2024-11-13,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-13|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.0.4,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.0,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.1,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.2,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.3,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.1.4,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.2.0,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.2.1,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.2.2,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.2.3,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,21ca22d1-a6fb-40cd-805c-cd3dcfcbb4ff.2.4,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.1.0,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.1.1,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.1.2,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.1.3,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,7f7dd654-2760-4eb2-a197-3ebb72b85cda.1.5,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.10,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.11,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.12,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.13,2024-12-06,2024-12-06,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.14,2024-12-06,2024-11-06,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-06|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.15,2024-12-06,2024-12-06,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.16,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.17,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.0.18,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.10,2024-12-06,2024-11-09,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-09|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.11,2024-12-06,2024-11-06,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-06|recovery_reset=yes|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.12,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.13,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.14,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.15,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.16,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.17,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.1.18,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.10,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.11,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.12,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.13,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.14,2024-12-06,2024-12-06,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.15,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.16,2024-12-06,2024-12-06,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.17,2024-12-06,2024-12-06,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,a481180a-e538-42e2-b1aa-95f251c531bc.2.18,2024-12-06,2024-12-06,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-06|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.11,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.12,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.13,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.14,2024-12-06,2024-11-13,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-11-13|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.1.18,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.2.10,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.2.11,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.2.12,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.2.13,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
conalog,d0a55fe4-4fb3-4dd3-8c11-d1144442db27.2.14,2024-12-06,2024-12-05,2024-12-06,0,medium,strict_trigger_fallback,strict_method=confirmed_fault_flag|window_start=2024-10-07|first_warning=2024-12-05|recovery_reset=no|shadow_frac=0.0|group_off_frac=0.0,,,,,,P3,,,,,,,,
