owner_branch,field,allowed_value
BR-20260425-102,subtype_for:mlpe_device_or_control_fault,optimizer_current_limit
BR-20260425-102,subtype_for:mlpe_device_or_control_fault,optimizer_clipping
BR-20260425-102,subtype_for:mlpe_device_or_control_fault,mppt_tracking_anomaly
BR-20260425-102,subtype_for:mlpe_device_or_control_fault,rapid_shutdown_state
BR-20260425-102,subtype_for:mlpe_device_or_control_fault,control_response_delay
BR-20260425-102,subtype_for:measurement_or_communication_artifact,telemetry_dropout
BR-20260425-102,subtype_for:measurement_or_communication_artifact,telemetry_stuck
BR-20260425-102,subtype_for:measurement_or_communication_artifact,sensor_offset
BR-20260425-102,subtype_for:measurement_or_communication_artifact,timestamp_skew
BR-20260425-102,subtype_for:measurement_or_communication_artifact,missing_packet_burst
BR-20260425-102,subtype_for:inverter_or_group_side_fault,group_curtailment
BR-20260425-102,subtype_for:inverter_or_group_side_fault,string_shutdown
BR-20260425-102,subtype_for:inverter_or_group_side_fault,inverter_limit
BR-20260425-102,subtype_for:inverter_or_group_side_fault,root_level_drop
BR-20260425-102,subtype_for:inverter_or_group_side_fault,multi_panel_zero_output
BR-20260425-102,subtype_for:site_common_cause_event,cloud_or_irradiance_event
BR-20260425-102,subtype_for:site_common_cause_event,site_control_action
BR-20260425-102,subtype_for:site_common_cause_event,grid_event
BR-20260425-102,subtype_for:site_common_cause_event,maintenance_window
BR-20260425-102,subtype_for:site_common_cause_event,site_wide_reference_shift
BR-20260425-102,subtype_for:unknown_or_compound,compound_fault
BR-20260425-102,subtype_for:unknown_or_compound,unknown_unresolved
